Type de la CRD,Catégorie du mouvement,Type du mouvement
collectif suspendue,stock_debut,debut
collectif suspendue,entrees,achats
collectif suspendue,entrees,excedents
collectif suspendue,entrees,retours
collectif suspendue,sorties,utilisations
collectif suspendue,sorties,destructions
collectif suspendue,sorties,manquants
collectif suspendue,stock_fin,fin
collectif acquitte,stock_debut,debut
collectif acquitte,entrees,achats
collectif acquitte,entrees,excedents
collectif acquitte,entrees,retours
collectif acquitte,sorties,utilisations
collectif acquitte,sorties,destructions
collectif acquitte,sorties,manquants
collectif acquitte,stock_fin,fin
personnalise,stock_debut,debut
personnalise,entrees,achats
personnalise,entrees,excedents
personnalise,entrees,retours
personnalise,sorties,utilisations
personnalise,sorties,destructions
personnalise,sorties,manquants
personnalise,stock_fin,fin
